subject,relation,object
paper_22,USES_METHOD,transformer
paper_22,BELONGS_TO_DOMAIN,medical
paper_22,BELONGS_TO_DOMAIN,social
paper_22,GENERATES_EXPLANATION_TYPE,attention
paper_22,GENERATES_EXPLANATION_TYPE,counterfactual
paper_22,GENERATES_EXPLANATION_TYPE,feature
paper_22,GENERATES_EXPLANATION_TYPE,kg
paper_22,EVALUATED_BY,accuracy
paper_22,EVALUATED_BY,precision
paper_23,AUTHORED_BY,Ivania Donoso-Guzm'an
paper_23,AUTHORED_BY,Jeroen Ooge
paper_23,AUTHORED_BY,Denis Parra
paper_23,AUTHORED_BY,K. Verbert
paper_23,BELONGS_TO_DOMAIN,medical
paper_23,GENERATES_EXPLANATION_TYPE,feature
paper_23,EVALUATED_BY,precision
paper_23,EVALUATED_BY,recall
paper_24,AUTHORED_BY,Shuai Yu
paper_24,AUTHORED_BY,Yongbo Wang
paper_24,AUTHORED_BY,Min Yang
paper_24,AUTHORED_BY,Baocheng Li
paper_24,AUTHORED_BY,Qiang Qu
paper_24,AUTHORED_BY,Jialie Shen
paper_24,GENERATES_EXPLANATION_TYPE,attention
paper_24,EVALUATED_BY,accuracy
paper_25,AUTHORED_BY,S.M.F. Sani
paper_25,AUTHORED_BY,Asal Meskin
paper_25,AUTHORED_BY,Mohammad Amanlou
paper_25,AUTHORED_BY,Hamid R. Rabiee
paper_25,USES_METHOD,gpt
paper_25,USES_METHOD,llm
paper_25,USES_METHOD,prompt
paper_25,BELONGS_TO_DOMAIN,movie
paper_25,GENERATES_EXPLANATION_TYPE,feature
paper_25,USES_DATASET,amazon
paper_25,USES_DATASET,yelp
paper_25,EVALUATED_BY,accuracy
paper_25,EVALUATED_BY,bleu
paper_25,EVALUATED_BY,f1
paper_25,EVALUATED_BY,mae
paper_25,EVALUATED_BY,rouge
paper_26,AUTHORED_BY,Xiaoshan Yu
paper_26,AUTHORED_BY,Chuan Qin
paper_26,AUTHORED_BY,Qi Zhang
paper_26,AUTHORED_BY,Chen Zhu
paper_26,AUTHORED_BY,Haiping Ma
paper_26,AUTHORED_BY,Xingyi Zhang
paper_26,AUTHORED_BY,Hengshu Zhu
paper_26,GENERATES_EXPLANATION_TYPE,attention
paper_26,EVALUATED_BY,auc
paper_27,AUTHORED_BY,Tong Chen
paper_27,AUTHORED_BY,Hongzhi Yin
paper_27,AUTHORED_BY,Guanhua Ye
paper_27,AUTHORED_BY,Zi Huang
paper_27,AUTHORED_BY,Yang Wang
paper_27,AUTHORED_BY,Meng Wang
paper_27,GENERATES_EXPLANATION_TYPE,attention
paper_27,EVALUATED_BY,accuracy
paper_27,EVALUATED_BY,precision
paper_27,EVALUATED_BY,recall
paper_28,AUTHORED_BY,Deng Pan
paper_28,AUTHORED_BY,Xiangrui Li
paper_28,AUTHORED_BY,X. Li
paper_28,AUTHORED_BY,Dongxiao Zhu
paper_28,BELONGS_TO_DOMAIN,movie
paper_28,GENERATES_EXPLANATION_TYPE,attention
paper_28,GENERATES_EXPLANATION_TYPE,feature
paper_28,USES_DATASET,movielens
paper_28,EVALUATED_BY,accuracy
paper_28,EVALUATED_BY,precision
paper_28,EVALUATED_BY,recall
paper_29,AUTHORED_BY,Andrés Villa
paper_29,AUTHORED_BY,Vladimir Araujo
paper_29,AUTHORED_BY,Francisca Cattan
paper_29,AUTHORED_BY,Denis Parra
paper_29,USES_METHOD,cnn
paper_29,USES_METHOD,transformer
paper_29,BELONGS_TO_DOMAIN,game
paper_29,GENERATES_EXPLANATION_TYPE,attention
paper_29,EVALUATED_BY,f1
paper_29,EVALUATED_BY,precision
paper_29,EVALUATED_BY,recall
paper_30,AUTHORED_BY,Xin Dong
paper_30,AUTHORED_BY,Jingchao Ni
paper_30,AUTHORED_BY,Wei Cheng
paper_30,AUTHORED_BY,Zhengzhang Chen
paper_30,AUTHORED_BY,Bo Zong
paper_30,AUTHORED_BY,Dongjin Song
paper_30,AUTHORED_BY,Yanchi Liu
paper_30,AUTHORED_BY,Haifeng Chen
paper_30,AUTHORED_BY,Gerard de Melo
paper_30,USES_METHOD,attention
paper_30,GENERATES_EXPLANATION_TYPE,attention
paper_30,USES_DATASET,amazon
paper_30,USES_DATASET,yelp
paper_30,EVALUATED_BY,accuracy
paper_30,EVALUATED_BY,recall
paper_31,AUTHORED_BY,Charles Packer
paper_31,AUTHORED_BY,Julian McAuley
paper_31,AUTHORED_BY,Arnau Ramisa
paper_31,USES_METHOD,cnn
paper_31,EVALUATED_BY,accuracy
paper_31,EVALUATED_BY,auc
paper_32,AUTHORED_BY,Millennium Bismay
paper_32,AUTHORED_BY,Xiangjue Dong
paper_32,AUTHORED_BY,James Caverlee
paper_32,USES_METHOD,attention
paper_32,USES_METHOD,finetune
paper_32,USES_METHOD,llm
paper_32,USES_METHOD,prompt
paper_32,USES_METHOD,transformer
paper_32,GENERATES_EXPLANATION_TYPE,attention
paper_32,USES_DATASET,movielens
paper_32,EVALUATED_BY,accuracy
paper_32,EVALUATED_BY,auc
paper_32,EVALUATED_BY,recall
paper_33,AUTHORED_BY,Yuling Wang
paper_33,AUTHORED_BY,Xiao Wang
paper_33,AUTHORED_BY,Xiangzhou Huang
paper_33,AUTHORED_BY,Yanhua Yu
paper_33,AUTHORED_BY,Haoyang Li
paper_33,AUTHORED_BY,Mengdi Zhang
paper_33,AUTHORED_BY,Zirui Guo
paper_33,AUTHORED_BY,Wei Wu
paper_33,GENERATES_EXPLANATION_TYPE,attention
paper_33,EVALUATED_BY,recall
paper_34,AUTHORED_BY,Yongfeng Zhang
paper_34,AUTHORED_BY,Xu Chen
paper_34,BELONGS_TO_DOMAIN,education
paper_34,BELONGS_TO_DOMAIN,game
paper_34,BELONGS_TO_DOMAIN,medical
paper_34,BELONGS_TO_DOMAIN,movie
paper_34,BELONGS_TO_DOMAIN,music
paper_34,BELONGS_TO_DOMAIN,news
paper_34,BELONGS_TO_DOMAIN,social
paper_34,BELONGS_TO_DOMAIN,travel
paper_34,GENERATES_EXPLANATION_TYPE,attention
paper_34,GENERATES_EXPLANATION_TYPE,feature
paper_34,EVALUATED_BY,accuracy
paper_34,EVALUATED_BY,bleu
paper_34,EVALUATED_BY,mae
paper_34,EVALUATED_BY,precision
paper_34,EVALUATED_BY,recall
paper_34,EVALUATED_BY,rouge
paper_35,AUTHORED_BY,Yikun Xian
paper_35,AUTHORED_BY,Zuohui Fu
paper_35,AUTHORED_BY,S. Muthukrishnan
paper_35,AUTHORED_BY,Gerard de Melo
paper_35,AUTHORED_BY,Yongfeng Zhang
paper_35,BELONGS_TO_DOMAIN,social
paper_35,EVALUATED_BY,precision
paper_35,EVALUATED_BY,recall
paper_36,AUTHORED_BY,Yuhan Li
paper_36,AUTHORED_BY,Xinni Zhang
paper_36,AUTHORED_BY,Linhao Luo
paper_36,AUTHORED_BY,Heng Chang
paper_36,AUTHORED_BY,Yuxiang Ren
paper_36,AUTHORED_BY,Irwin King
paper_36,AUTHORED_BY,Jia Li
paper_36,BELONGS_TO_DOMAIN,food
paper_36,GENERATES_EXPLANATION_TYPE,attention
paper_36,USES_DATASET,yelp
paper_36,EVALUATED_BY,f1
paper_36,EVALUATED_BY,precision
paper_36,EVALUATED_BY,recall
paper_37,AUTHORED_BY,A. Zakharov
paper_37,AUTHORED_BY,M. Pisov
paper_37,AUTHORED_BY,Alim Bukharaev
paper_37,AUTHORED_BY,Alexey Petraikin
paper_37,AUTHORED_BY,S. Morozov
paper_37,AUTHORED_BY,V. Gombolevskiy
paper_37,AUTHORED_BY,M. Belyaev
paper_37,BELONGS_TO_DOMAIN,medical
paper_37,GENERATES_EXPLANATION_TYPE,attention
paper_37,EVALUATED_BY,auc
paper_37,EVALUATED_BY,mae
paper_37,EVALUATED_BY,precision
paper_37,EVALUATED_BY,recall
paper_38,AUTHORED_BY,Shijun Li
paper_38,AUTHORED_BY,Wenqiang Lei
paper_38,AUTHORED_BY,Qingyun Wu
paper_38,AUTHORED_BY,Xiangnan He
paper_38,AUTHORED_BY,Peng Jiang
paper_38,AUTHORED_BY,Tat-Seng Chua
paper_38,BELONGS_TO_DOMAIN,business
paper_38,BELONGS_TO_DOMAIN,music
paper_38,GENERATES_EXPLANATION_TYPE,attention
paper_38,USES_DATASET,yelp
paper_39,AUTHORED_BY,Yuntao Du
paper_39,AUTHORED_BY,Jianxun Lian
paper_39,AUTHORED_BY,Jing Yao
paper_39,AUTHORED_BY,Xiting Wang
paper_39,AUTHORED_BY,Mingqi Wu
paper_39,AUTHORED_BY,Lu Chen
paper_39,AUTHORED_BY,Yunjun Gao
paper_39,AUTHORED_BY,Xing Xie
paper_39,BELONGS_TO_DOMAIN,music
paper_39,USES_DATASET,movielens
paper_39,EVALUATED_BY,accuracy
paper_39,EVALUATED_BY,recall
paper_40,AUTHORED_BY,Lei Pan
paper_40,AUTHORED_BY,V. Soo
paper_40,BELONGS_TO_DOMAIN,music
paper_40,GENERATES_EXPLANATION_TYPE,attention
paper_40,USES_DATASET,movielens
paper_40,EVALUATED_BY,accuracy
paper_41,AUTHORED_BY,Oren Barkan
paper_41,AUTHORED_BY,Yonatan Fuchs
paper_41,AUTHORED_BY,Avi Caciularu
paper_41,AUTHORED_BY,Noam Koenigstein
paper_41,GENERATES_EXPLANATION_TYPE,attention
paper_41,GENERATES_EXPLANATION_TYPE,feature
paper_41,USES_DATASET,amazon
paper_41,EVALUATED_BY,accuracy
paper_41,EVALUATED_BY,recall
paper_42,AUTHORED_BY,Yueyang Liu
paper_42,AUTHORED_BY,Lance Kennedy
paper_42,AUTHORED_BY,Hossein Amiri
paper_42,AUTHORED_BY,Andreas Züfle
paper_42,BELONGS_TO_DOMAIN,movie
paper_42,GENERATES_EXPLANATION_TYPE,attention
paper_42,EVALUATED_BY,accuracy
paper_42,EVALUATED_BY,auc
paper_43,AUTHORED_BY,P. Haghighi
paper_43,AUTHORED_BY,Olurotimi Seton
paper_43,AUTHORED_BY,O. Nasraoui
paper_43,USES_METHOD,autoencoder
paper_43,BELONGS_TO_DOMAIN,music
paper_43,BELONGS_TO_DOMAIN,travel
paper_43,USES_DATASET,movielens
paper_43,EVALUATED_BY,accuracy
paper_43,EVALUATED_BY,precision
paper_44,AUTHORED_BY,B. Abdollahi
paper_44,AUTHORED_BY,O. Nasraoui
paper_44,BELONGS_TO_DOMAIN,news
paper_44,EVALUATED_BY,accuracy
paper_44,EVALUATED_BY,precision
paper_44,EVALUATED_BY,recall
paper_45,AUTHORED_BY,Qiyao Ma
paper_45,AUTHORED_BY,Xubin Ren
paper_45,AUTHORED_BY,Chao Huang
paper_45,USES_METHOD,gnn
paper_45,USES_METHOD,llm
paper_45,USES_METHOD,prompt
paper_45,GENERATES_EXPLANATION_TYPE,attention
paper_45,USES_DATASET,yelp
paper_45,EVALUATED_BY,accuracy
paper_45,EVALUATED_BY,bleu
paper_45,EVALUATED_BY,recall
paper_45,EVALUATED_BY,rouge
paper_46,AUTHORED_BY,Abhinav Arun
paper_46,AUTHORED_BY,Mehul Soni
paper_46,AUTHORED_BY,Palash Choudhary
paper_46,AUTHORED_BY,Saksham Arora
paper_46,BELONGS_TO_DOMAIN,music
paper_46,EVALUATED_BY,accuracy
paper_46,EVALUATED_BY,precision
paper_47,AUTHORED_BY,Zuohui Fu
paper_47,AUTHORED_BY,Yikun Xian
paper_47,AUTHORED_BY,Ruoyuan Gao
paper_47,AUTHORED_BY,Jieyu Zhao
paper_47,AUTHORED_BY,Qiaoying Huang
paper_47,AUTHORED_BY,Yingqiang Ge
paper_47,AUTHORED_BY,Shuyuan Xu
paper_47,AUTHORED_BY,Shijie Geng
paper_47,AUTHORED_BY,C. Shah
paper_47,AUTHORED_BY,Yongfeng Zhang
paper_47,AUTHORED_BY,Gerard de Melo
paper_47,GENERATES_EXPLANATION_TYPE,attention
paper_47,USES_DATASET,amazon
paper_47,EVALUATED_BY,precision
paper_47,EVALUATED_BY,recall
paper_48,AUTHORED_BY,Chuang Zhao
paper_48,AUTHORED_BY,Xing Su
paper_48,AUTHORED_BY,Ming He
paper_48,AUTHORED_BY,Hongke Zhao
paper_48,AUTHORED_BY,Jianpin Fan
paper_48,AUTHORED_BY,Xiaomeng Li
paper_49,AUTHORED_BY,P. Bhattacharya
paper_49,AUTHORED_BY,Saptarshi Ghosh
paper_49,AUTHORED_BY,M. B. Zafar
paper_49,AUTHORED_BY,Soumya K. Ghosh
paper_49,AUTHORED_BY,Niloy Ganguly
paper_49,BELONGS_TO_DOMAIN,social
paper_49,GENERATES_EXPLANATION_TYPE,attention
paper_49,USES_DATASET,twitter
paper_49,EVALUATED_BY,accuracy
paper_49,EVALUATED_BY,precision
